employee_id;employee_name;employee_date_of_birth;is_married;employee_phone;employee_salary
EAB71DCE-B154-41B4-918B-357C19698569;Alex;06.04.1999;1;987564757;1500.00
EAB71DCE-B154-41B4-918B-357C19698570;John;15.01.2000;0;987564758;1600.00
EAB71DCE-B154-41B4-918B-357C19698571;Sarah;23.09.1995;1;987564759;1700.00
EAB71DCE-B154-41B4-918B-357C19698572;Emily;30.06.1992;1;987564760;1800.00
EAB71DCE-B154-41B4-918B-357C19698573;Michael;12.12.1988;0;987564761;1900.00
EAB71DCE-B154-41B4-918B-357C19698574;Jessica;28.03.1994;1;987564762;2000.00
EAB71DCE-B154-41B4-918B-357C19698575;David;09.08.1990;0;987564763;2100.00
EAB71DCE-B154-41B4-918B-357C19698576;Emma;02.11.1997;1;987564764;2200.00
EAB71DCE-B154-41B4-918B-357C19698577;Daniel;17.05.1985;0;987564765;2300.00
EAB71DCE-B154-41B4-918B-357C19698578;Sophia;04.02.1993;1;987564766;2400.00
EAB71DCE-B154-41B4-918B-357C19698579;Matthew;21.07.1989;0;987564767;2500.00
EAB71DCE-B154-41B4-918B-357C19698580;Olivia;12.10.1998;1;987564768;2600.00
EAB71DCE-B154-41B4-918B-357C19698581;Christopher;05.04.1987;0;987564769;2700.00
EAB71DCE-B154-41B4-918B-357C19698582;Ava;26.01.1996;1;987564770;2800.00
EAB71DCE-B154-41B4-918B-357C19698583;Andrew;14.06.1991;0;987564771;2900.00
EAB71DCE-B154-41B4-918B-357C19698584;Isabella;05.09.1992;1;987564772;3000.00
EAB71DCE-B154-41B4-918B-357C19698585;James;18.12.1994;0;987564773;3100.00
EAB71DCE-B154-41B4-918B-357C19698586;Charlotte;09.03.1997;1;987564774;3200.00
EAB71DCE-B154-41B4-918B-357C19698587;Ryan;22.08.1993;0;987564775;3300.00
EAB71DCE-B154-41B4-918B-357C19698588;Amelia;13.11.1988;1;987564776;3400.00
EAB71DCE-B154-41B4-918B-357C19698589;Benjamin;24.02.1995;0;987564777;3500.00
EAB71DCE-B154-41B4-918B-357C19698590;Mia;07.07.1990;1;987564778;3600.00
EAB71DCE-B154-41B4-918B-357C19698591;William;28.10.1999;0;987564779;3700.00
EAB71DCE-B154-41B4-918B-357C19698592;Ella;19.05.1986;1;987564780;3800.00
EAB71DCE-B154-41B4-918B-357C19698593;Liam;10.02.1997;0;987564781;3900.00
EAB71DCE-B154-41B4-918B-357C19698594;Grace;01.09.1991;1;987564782;4000.00
EAB71DCE-B154-41B4-918B-357C19698595;Henry;12.11.1994;0;987564783;4100.00
EAB71DCE-B154-41B4-918B-357C19698596;Chloe;23.03.1998;1;987564784;4200.00
EAB71DCE-B154-41B4-918B-357C19698597;Alexander;06.06.1993;0;987564785;4300.00
EAB71DCE-B154-41B4-918B-357C19698598;Avery;17.08.1996;1;987564786;4400.00
EAB71DCE-B154-41B4-918B-357C19698599;Michaela;28.01.1990;0;987564787;4500.00
FF0F70A4-4CA5-450C-9FCC-A0377457202F;Yehor;16.10.2003;0;966865967;650.00
